group_name,symbol,chart_title,alt_text,filename
main_futures,&ZC_CCB,Corn 1yr Performance,Corn 1yr Chart,main_futures_&ZC_CCB_1yr.png
main_futures,&KE_CCB,Wheat (KC Hard Red) 1yr Performance,Wheat (KC Hard Red) 1yr Chart,main_futures_&KE_CCB_1yr.png
main_futures,&CC_CCB,Cocoa 1yr Performance,Cocoa 1yr Chart,main_futures_&CC_CCB_1yr.png
main_futures,&KC_CCB,Coffee 1yr Performance,Coffee 1yr Chart,main_futures_&KC_CCB_1yr.png
main_fx,EURUSD,Euro / US Dollar 1yr Performance,Euro / US Dollar 1yr Chart,main_fx_EURUSD_1yr.png
main_fx,JPYUSD,Japanese Yen / US Dollar 1yr Performance,Japanese Yen / US Dollar 1yr Chart,main_fx_JPYUSD_1yr.png
main_fx,GBPUSD,British Pound / US Dollar 1yr Performance,British Pound / US Dollar 1yr Chart,main_fx_GBPUSD_1yr.png
main_fx,AUDUSD,Australian Dollar / US Dollar 1yr Performance,Australian Dollar / US Dollar 1yr Chart,main_fx_AUDUSD_1yr.png
main_fx,CNYUSD,Chinese Yuan / US Dollar 1yr Performance,Chinese Yuan / US Dollar 1yr Chart,main_fx_CNYUSD_1yr.png
main_fx,EURJPY,Euro / Yen 1yr Performance,Euro / Yen 1yr Chart,main_fx_EURJPY_1yr.png
main_fx,EURGBP,Euro / Pound 1yr Performance,Euro / Pound 1yr Chart,main_fx_EURGBP_1yr.png
main_us_treasury_yield,%IRX,3-Month T-Bill Yield 1yr Performance,3-Month T-Bill Yield 1yr Chart,main_us_treasury_yield_%IRX_1yr.png
main_us_treasury_yield,%FVX,5-Year Treasury Yield 1yr Performance,5-Year Treasury Yield 1yr Chart,main_us_treasury_yield_%FVX_1yr.png
main_us_treasury_yield,%TNX,10-Year Treasury Yield 1yr Performance,10-Year Treasury Yield 1yr Chart,main_us_treasury_yield_%TNX_1yr.png
main_us_treasury_yield,%TYX,30-Year Treasury Yield 1yr Performance,30-Year Treasury Yield 1yr Chart,main_us_treasury_yield_%TYX_1yr.png
main_Mike_Stocks,AAPL,Apple 1yr Performance,Apple 1yr Chart,main_Mike_Stocks_AAPL_1yr.png
main_Mike_Stocks,MSFT,Microsoft 1yr Performance,Microsoft 1yr Chart,main_Mike_Stocks_MSFT_1yr.png
main_Mike_Stocks,GOOG,Google 1yr Performance,Google 1yr Chart,main_Mike_Stocks_GOOG_1yr.png
main_Mike_Stocks,AMZN,Amazon 1yr Performance,Amazon 1yr Chart,main_Mike_Stocks_AMZN_1yr.png
main_Mike_Stocks,TSLA,Tesla 1yr Performance,Tesla 1yr Chart,main_Mike_Stocks_TSLA_1yr.png
main_Mike_Stocks,NVDA,NVIDIA 1yr Performance,NVIDIA 1yr Chart,main_Mike_Stocks_NVDA_1yr.png
main_Mike_Stocks,META,Meta 1yr Performance,Meta 1yr Chart,main_Mike_Stocks_META_1yr.png
main_Mike_Stocks,MSTR,MicroStrategy 1yr Performance,MicroStrategy 1yr Chart,main_Mike_Stocks_MSTR_1yr.png
