Symbol,Daily Return (%),Close,Date
GBPCHF,-0.4755536,1.1092,2025-05-20
AUDUSD,-0.51131254,0.6421,2025-05-20
AUDSGD,-0.51460004,0.8313,2025-05-20
META,-0.5199658,637.1,2025-05-20
EURZAR,-0.52530915,20.2241,2025-05-20
JPYCHF,-0.5274155,0.0057336,2025-05-20
MYREUR,-0.53011507,0.2064,2025-05-20
CLPUSD,-0.56231767,0.001061,2025-05-20
INREUR,-0.57582015,0.01036,2025-05-20
GBPZAR,-0.6110237,24.0083,2025-05-20
$N225,-0.6142045,37298.98,2025-05-21
NOKCHF,-0.61455387,0.08086,2025-05-20
USDPLN,-0.6326945,3.7536,2025-05-20
USDCHF,-0.74305075,0.8282,2025-05-20
AUDJPY,-0.7594386,92.78,2025-05-20
AUDCAD,-0.77648026,0.8945,2025-05-20
AUDGBP,-0.78561187,0.4799,2025-05-20
USDZAR,-0.82964396,17.93,2025-05-20
NZDCHF,-0.8500464,0.49106,2025-05-20
AUDEUR,-0.8527635,0.5697,2025-05-20
NVDA,-0.8777771,134.38,2025-05-20
&CC_CCB,-0.91124475,10874.0,2025-05-20
AAPL,-0.9196275,206.86,2025-05-20
AMZN,-1.0137739,204.07,2025-05-20
$NIF,-1.0484831,24683.9,2025-05-20
$SEN,-1.0638442,81186.44,2025-05-20
AUDCHF,-1.244204,0.5318,2025-05-20
AUDZAR,-1.3845228,11.5103,2025-05-20
&KC_CCB,-1.4411594,369.3,2025-05-20
GOOG,-1.5190254,165.32,2025-05-20
$RTS,-1.9242502,1107.54,2025-05-20
