Open,High,Low,Close,Volume,Open Interest,Symbol
68.88,68.88,68.88,68.88,0.0,0.0,BRN-2032Q
68.43,68.43,68.43,68.43,0.0,0.0,BRN-2032U
68.81,68.81,68.81,68.81,0.0,0.0,BRN-2032U
68.36,68.36,68.36,68.36,0.0,0.0,BRN-2032V
68.74,68.74,68.74,68.74,0.0,0.0,BRN-2032V
68.29,68.29,68.29,68.29,0.0,0.0,BRN-2032X
68.68,68.68,68.68,68.68,0.0,0.0,BRN-2032X
68.22,68.22,68.22,68.22,0.0,6.0,BRN-2032Z
68.62,68.62,68.62,68.62,0.0,0.0,BRN-2032Z
68.12,68.12,68.12,68.12,0.0,0.0,BRN-2033F
68.52,68.52,68.52,68.52,0.0,0.0,BRN-2033F
68.03,68.03,68.03,68.03,0.0,0.0,BRN-2033G
68.43,68.43,68.43,68.43,0.0,0.0,BRN-2033G
67.94,67.94,67.94,67.94,0.0,0.0,BRN-2033H
68.34,68.34,68.34,68.34,0.0,0.0,BRN-2033H
67.85,67.85,67.85,67.85,0.0,0.0,BRN-2033J
68.25,68.25,68.25,68.25,0.0,0.0,BRN-2033J
67.78,67.78,67.78,67.78,0.0,0.0,BRN-2033K
68.18,68.18,68.18,68.18,0.0,0.0,BRN-2033K
67.71,67.71,67.71,67.71,0.0,0.0,BRN-2033M
68.11,68.11,68.11,68.11,0.0,0.0,BRN-2033M
67.63,67.63,67.63,67.63,0.0,0.0,BRN-2033N
68.03,68.03,68.03,68.03,0.0,0.0,BRN-2033N
67.55,67.55,67.55,67.55,0.0,0.0,BRN-2033Q
67.95,67.95,67.95,67.95,0.0,0.0,BRN-2033Q
67.48,67.48,67.48,67.48,0.0,0.0,BRN-2033U
67.88,67.88,67.88,67.88,0.0,0.0,BRN-2033U
67.42,67.42,67.42,67.42,0.0,0.0,BRN-2033V
67.82,67.82,67.82,67.82,0.0,0.0,BRN-2033V
67.36,67.36,67.36,67.36,0.0,0.0,BRN-2033X
67.77,67.77,67.77,67.77,0.0,0.0,BRN-2033X
67.3,67.3,67.3,67.3,0.0,0.0,BRN-2033Z
67.72,67.72,67.72,67.72,0.0,0.0,BRN-2033Z
67.23,67.23,67.23,67.23,0.0,0.0,BRN-2034F
67.65,67.65,67.65,67.65,0.0,0.0,BRN-2034F
67.15,67.15,67.15,67.15,0.0,0.0,BRN-2034G
67.57,67.57,67.57,67.57,0.0,0.0,BRN-2034G
67.08,67.08,67.08,67.08,0.0,0.0,BRN-2034H
