Symbol,Z-Score,Daily Return (%),Close,Date
GBPDKK,-0.07137685866363724,-0.027454773,8.7407,2026-08-14
USDZWL,-0.07280331229836816,0.0,25.337,2026-08-14
USDMYR,-0.08445067581617505,-0.02447803,4.084,2026-08-14
$IBEX,-0.08840941923622068,-0.05949843,20156.6,2026-08-14
ETHUSD,-0.09860919126801025,-0.29877862,1878.71,2026-08-14
NVDA,-0.09882202877455833,-0.0621391,225.16,2026-08-14
USDCNY,-0.09946340746758295,-0.02373295,6.7412,2026-08-14
$BVSP,-0.10609565952401065,-0.09978998,166934.2,2026-08-14
$STOXX50,-0.11343425309803301,-0.08983879,6539.59,2026-08-14
GBPAUD,-0.11397078169910159,-0.052349485,1.9091,2026-08-14
GOOG,-0.11889838802470719,-0.11629758,343.54,2026-08-14
EURCZK,-0.11945815833975147,-0.03717006,24.201,2026-08-14
EURCAD,-0.1277310914774145,-0.049823347,1.6049,2026-08-14
$SEN,-0.13360785219138432,-0.09056221,78009.25,2026-08-14
$NDX,-0.1470015659913069,-0.12750544,30046.14,2026-08-14
$OMNX40,-0.16243413919092023,-0.1414121,2711.69,2026-08-14
$NIF,-0.1661506641849013,-0.122355275,24366.0,2026-08-14
USDCHF,-0.17327434000830205,-0.08601585,0.8131,2026-08-14
$CAC,-0.17476532064510225,-0.15906215,8636.8,2026-08-14
EURHUF,-0.18346152617086778,-0.07713252,362.73,2026-08-14
GBPCAD,-0.1879050140643972,-0.08517578,1.8769,2026-08-14
$SPX,-0.19906374326897955,-0.16964336,7785.76,2026-08-14
USDKRW,-0.20152648554518904,-0.09873928,1416.5,2026-08-14
$FTSEMIB,-0.20713353387369188,-0.20423445,53583.61,2026-08-14
$XIN9,-0.21059186395018445,-0.22632514,14984.33,2026-08-14
$SPCBXM,-0.21462348629415545,-0.85382134,1528.15,2026-08-14
$SPCMC,-0.21657746559002572,-0.6547041,5638.71,2026-08-14
$SPCBDM,-0.2197002835037823,-0.693935,3430.24,2026-08-14
USDILS,-0.2254480561259146,-0.124979496,2.9568,2026-08-14
MSFT,-0.23127094253998448,-0.29786086,495.4,2026-08-14
USDJPY,-0.24013925847175138,-0.11286223,159.3,2026-08-14
$FT100,-0.24907149727793604,-0.20941484,10750.11,2026-08-14
BTCUSD,-0.2691493982104931,-0.810376,62854.54,2026-08-14
&ES_CCB,-0.2848866892608293,-0.22371365,7805.0,2026-08-14
$E3X,-0.29421854539230535,-0.2444223,2628.32,2026-08-14
GBPSEK,-0.30479255305956926,-0.14732607,12.8776,2026-08-14
ZARAUD,-0.30626586507825887,-0.22831436,0.0874,2026-08-14
EURSEK,-0.32126207316775257,-0.11792788,11.0111,2026-08-14
ZARGBP,-0.32851633142377873,-0.28353643,0.04572,2026-08-14
JPYGBP,-0.33391029280960755,-0.21935622,0.0046397,2026-08-14
EURPLN,-0.3400367456668276,-0.1183902,4.3029,2026-08-14
USDSGD,-0.3545560708136441,-0.10154486,1.2789,2026-08-14
ZAREUR,-0.3790612953624657,-0.31692746,0.05347,2026-08-14
JPYAUD,-0.3825332272189091,-0.266628,0.0088652,2026-08-14
META,-0.3863909896595419,-0.8605468,589.85,2026-08-14
MXNGBP,-0.3932933493951912,-0.29843372,0.04343,2026-08-14
$OOI,-0.4126888108252662,-0.35674784,5885.15,2026-08-14
JPYCAD,-0.42298399506697726,-0.27014634,0.0087123,2026-08-14
JPYEUR,-0.45182990762012853,-0.2500111,0.0054262,2026-08-14
MXNEUR,-0.4518382824570618,-0.33359477,0.05079,2026-08-14
AMZN,-0.49616602584331204,-0.9353943,262.65,2026-08-14
CHFGBP,-0.5162334631492352,-0.24144067,0.909,2026-08-14
CHFHUF,-0.5540019670976017,-0.3154251,385.56,2026-08-14
CHFAUD,-0.5585483559255018,-0.29851937,1.7367,2026-08-14
SGDGBP,-0.5846676516204472,-0.24166994,0.5779,2026-08-14
$TWMSCI,-0.6119926991080668,-0.71504706,2061.95,2026-08-14
USDGBP,-0.6193679544518359,-0.33710864,0.7391,2026-08-14
USDHUF,-0.619951650200384,-0.43820804,313.54,2026-08-14
CHFCAD,-0.6259337357200946,-0.2862137,1.7071,2026-08-14
